Transcription-Units,Genes of transcription unit,Left-End-Position,Right-End-Position,Transcription-Direction
 //  // ,G133T-28 // G133T-27 // G133T-26,29481 // 28867 // 28550,29705 // 29463 // 28852,+
,G133T-2794,2649769,2650221,+
,G133T-2793,2648978,2649634,-
,G133T-2792,2647418,2648974,+
 // ,G133T-2791 // G133T-2790,2647006 // 2644754,2647302 // 2646967,-
,G133T-2789,2644099,2644596,-
,G133T-2788,2643700,2644023,-
 // ,G133T-2787 // G133T-2786,2641273 // 2640755,2643633 // 2641267,-
,G133T-2785,2638383,2640587,-
,G133T-2784,2637931,2638329,-
,G133T-2783,2636219,2637904,+
,G133T-2782,2636045,2636215,-
 // ,G133T-2781 // G133T-2780,2634389 // 2632597,2635663 // 2634375,-
 // ,G133T-2779 // G133T-2778,2632295 // 2631497,2632483 // 2632261,-
,G133T-2777,2630190,2631455,+
 //  // ,G133T-2776 // G133T-2775 // G133T-2774,2629571 // 2628413 // 2627267,2629990 // 2629552 // 2628382,-
 // ,G133T-2773 // G133T-2772,2626561 // 2624140,2627211 // 2626536,-
 //  // ,G133T-2771 // G133T-2770 // G133T-2769,2623558 // 2623355 // 2623202,2624022 // 2623546 // 2623333,-
,G133T-277,246663,247553,+
 // ,G133T-2768 // G133T-2767,2622511 // 2621844,2623167 // 2622494,+
 // ,G133T-2766 // G133T-2765,2620962 // 2620212,2621783 // 2620940,+
,G133T-2764,2618995,2620056,-
,G133T-2763,2616028,2618664,-
 //  // ,G133T-2762 // G133T-2761 // G133T-2760,2615677 // 2615253 // 2614954,2615943 // 2615669 // 2615235,-
 // ,G133T-276 // G133T-275,246099 // 245195,246497 // 246136,+
,G133T-2759,2613741,2614823,-
 //  //  // ,G133T-2758 // G133T-2757 // G133T-2756 // G133T-2755,2612936 // 2612001 // 2610714 // 2610072,2613589 // 2612930 // 2611982 // 2610707,-
,G133T-2754,2609348,2609821,-
,G133T-2753,2607540,2609294,-
,G133T-2752,2606774,2607475,-
,G133T-2751,2606534,2606737,+
,G133T-2750,2605700,2606341,-
,G133T-2749,2604984,2605655,-
 // ,G133T-2748 // G133T-2747,2603996 // 2602855,2604919 // 2603994,-
,G133T-2746,2602542,2602772,-
 // ,G133T-2745 // G133T-2744,2602024 // 2599057,2602506 // 2602005,+
,G133T-2743,2598379,2598747,-
 // ,G133T-2742 // G133T-2741,2597316 // 2597156,2598116 // 2597290,-
,G133T-2740,2596777,2596926,-
,G133T-274,243897,245051,+
 //  // ,G133T-2739 // G133T-2738 // G133T-2737,2596462 // 2596310 // 2595731,2596620 // 2596471 // 2596273,-
 // ,G133T-2736 // G133T-2735,2594924 // 2591744,2595478 // 2594908,-
,G133T-2734,2591210,2591500,+
,G133T-2733,2589172,2591076,+
 // ,G133T-2732 // G133T-2731,2588204 // 2587704,2589061 // 2588204,+
,G133T-2730,2586681,2587508,+
 // ,G133T-273 // G133T-272,242839 // 241922,243666 // 242842,-
,G133T-2729,2585896,2586528,-
,G133T-2728,2584493,2585800,+
,G133T-2727,2580879,2583686,-
 //  //  // ,G133T-2726 // G133T-2725 // G133T-2724 // G133T-2723,2580249 // 2579761 // 2578935 // 2578087,2580689 // 2580252 // 2579744 // 2578914,-
,G133T-2722,2575897,2577930,-
,G133T-2721,2575346,2575855,+
,G133T-2720,2574166,2575215,+
,G133T-2719,2573841,2574035,+
,G133T-2718,2573236,2573658,-
 //  //  // ,G133T-2717 // G133T-2716 // G133T-2715 // G133T-2714,2572674 // 2572461 // 2571306 // 2571039,2572973 // 2572658 // 2572442 // 2571287,+
,G133T-2713,2570656,2570901,+
,G133T-2712,2570021,2570407,-
,G133T-2711,2569146,2569481,-
,G133T-2710,2568737,2569093,-
,G133T-271,239649,241847,-
,G133T-2709,2567514,2568329,+
,G133T-2708,2567114,2567377,+
,G133T-2707,2565838,2566671,-
,G133T-2706,2564576,2565565,+
,G133T-2705,2564374,2564577,-
,G133T-2704,2563448,2564317,-
,G133T-2703,2562017,2563333,-
,G133T-2702,2560763,2561743,+
,G133T-2701,2560098,2560628,-
,G133T-2700,2559211,2559966,-
,G133T-270,239527,239646,+
,G133T-2699,2558987,2559148,-
,G133T-2698,2557337,2558047,+
,G133T-2697,2556162,2556959,+
,G133T-2696,2556026,2556220,-
,G133T-2695,2555777,2555947,-
,G133T-2694,2554769,2555812,+
,G133T-2693,2553536,2554390,-
,G133T-2692,2552807,2553310,-
,G133T-2691,2552619,2552735,-
,G133T-2690,2550834,2551397,-
,G133T-269,238649,239560,-
,G133T-2689,2548961,2550193,-
,G133T-2688,2548414,2548689,-
 //  // ,G133T-2687 // G133T-2686 // G133T-2685,2547607 // 2546830 // 2546501,2548080 // 2547594 // 2546833,-
,G133T-2684,2545014,2546336,-
,G133T-2683,2543691,2544581,+
,G133T-2682,2542968,2543423,-
,G133T-2681,2541746,2542681,-
,G133T-2680,2540621,2541658,-
,G133T-268,238169,238333,-
,G133T-2679,2539632,2540498,+
 // ,G133T-2678 // G133T-2677,2538541 // 2538380,2539506 // 2538523,-
,G133T-2676,2536813,2538117,-
,G133T-2675,2536198,2536656,+
,G133T-2674,2534827,2536029,+
,G133T-2673,2533889,2534710,-
,G133T-2672,2532787,2533347,-
 // ,G133T-2671 // G133T-2670,2531997 // 2531803,2532119 // 2531991,-
 // ,G133T-267 // G133T-266,236884 // 235958,238134 // 236887,+
,G133T-2669,2531174,2531656,-
,G133T-2668,2530431,2530988,-
 // ,G133T-2667 // G133T-2666,2528963 // 2528702,2530096 // 2528929,-
,G133T-2665,2527856,2528641,-
,G133T-2664,2526797,2527123,-
,G133T-2663,2526029,2526553,-
 // ,G133T-2662 // G133T-2661,2524981 // 2524796,2525538 // 2524945,+
,G133T-2660,2523252,2524469,+
 // ,G133T-2659 // G133T-2658,2522289 // 2521004,2522984 // 2522302,-
,G133T-2657,2520542,2520961,-
 //  // ,G133T-2656 // G133T-2655 // G133T-2654,2519608 // 2519192 // 2518692,2519724 // 2519608 // 2519210,+
,G133T-2653,2517887,2518423,-
,G133T-2652,2517364,2517531,-
,G133T-2651,2516747,2517097,+
 // ,G133T-2650 // G133T-2649,2516340 // 2516170,2516570 // 2516310,-
,G133T-265,235630,235878,+
 // ,G133T-2648 // G133T-2647,2515527 // 2515273,2516096 // 2515530,-
,G133T-2646,2514949,2515143,-
 // ,G133T-2645 // G133T-2644,2513884 // 2513027,2514843 // 2513881,-
,G133T-2643,2512274,2512666,-
 // ,G133T-2642 // G133T-2641,2511451 // 2511311,2512182 // 2511454,-
,G133T-2640,2510787,2511131,-
,G133T-264,233999,235333,-
,G133T-2639,2510499,2510705,-
,G133T-2638,2509496,2510425,+
,G133T-2637,2508843,2509298,-
,G133T-2636,2508235,2508699,-
 //  //  //  //  //  //  //  //  //  //  //  //  //  // ,G133T-2635 // G133T-2634 // G133T-2633 // G133T-2632 // G133T-2631 // G133T-2630 // G133T-2629 // G133T-2628 // G133T-2627 // G133T-2626 // G133T-2625 // G133T-2624 // G133T-2623 // G133T-2622 // G133T-2621,2507448 // 2506160 // 2504624 // 2503710 // 2503016 // 2502015 // 2501061 // 2500739 // 2500340 // 2499981 // 2499481 // 2499031 // 2498843 // 2497442 // 2496996,2508167 // 2507455 // 2506156 // 2504627 // 2503669 // 2502983 // 2501996 // 2501050 // 2500735 // 2500343 // 2499984 // 2499468 // 2499031 // 2498842 // 2497439,-
,G133T-263,233019,233900,-
,G133T-2620,2496094,2496273,+
,G133T-262,231335,232972,+
 //  //  //  //  //  //  //  // ,G133T-2619 // G133T-2618 // G133T-2617 // G133T-2616 // G133T-2615 // G133T-2614 // G133T-2613 // G133T-2612 // G133T-2611,2490560 // 2489908 // 2488915 // 2488655 // 2488217 // 2487178 // 2486616 // 2486347 // 2485244,2495317 // 2490567 // 2489895 // 2488918 // 2488642 // 2488224 // 2487194 // 2486619 // 2486344,-
,G133T-2610,2484738,2484902,-
,G133T-261,230824,231084,-
,G133T-2609,2483757,2484650,-
,G133T-2608,2483290,2483712,-
,G133T-2607,2482427,2483245,-
,G133T-2606,2481405,2481767,-
,G133T-2605,2480911,2481144,+
,G133T-2604,2480754,2480873,-
,G133T-2603,2478956,2480551,+
,G133T-2602,2478428,2478586,+
 // ,G133T-2601 // G133T-2600,2478184 // 2477067,2478318 // 2478194,+
,G133T-260,229530,230783,+
,G133T-2599,2475860,2476633,-
,G133T-2598,2475171,2475488,-
 //  // ,G133T-2597 // G133T-2596 // G133T-2595,2474670 // 2473607 // 2473176,2475110 // 2474647 // 2473595,-
,G133T-2594,2471225,2472622,-
,G133T-2593,2470241,2470651,-
,G133T-2592,2469489,2470208,+
,G133T-2591,2468341,2469234,-
,G133T-2590,2467696,2468322,+
,G133T-259,228554,229357,-
,G133T-2589,2466757,2467509,-
,G133T-2588,2465774,2466505,-
,G133T-2587,2465328,2465468,+
 //  //  //  //  //  //  // ,G133T-2586 // G133T-2585 // G133T-2584 // G133T-2583 // G133T-2582 // G133T-2581 // G133T-2580 // G133T-2579,2464448 // 2463344 // 2462484 // 2462200 // 2461619 // 2461069 // 2460695 // 2459955,2465047 // 2464444 // 2463326 // 2462490 // 2462188 // 2461629 // 2461051 // 2460698,-
 // ,G133T-258 // G133T-257,228336 // 228071,228527 // 228319,+
,G133T-2578,2459068,2459889,+
,G133T-2577,2458367,2458984,-
 // ,G133T-2576 // G133T-2575,2457731 // 2455397,2458300 // 2457700,-
,G133T-2574,2455223,2455357,+
 // ,G133T-2573 // G133T-2572,2455033 // 2453950,2455182 // 2454993,-
,G133T-2571,2453669,2453935,+
,G133T-2570,2452359,2453465,-
 // ,G133T-2569 // G133T-2568,2451091 // 2450736,2452296 // 2451074,-
,G133T-2567,2448764,2450602,-
,G133T-2566,2447572,2448711,-
,G133T-2565,2446460,2447491,-
 // ,G133T-2564 // G133T-2563,2445825 // 2443966,2446388 // 2445801,-
 //  //  // ,G133T-2562 // G133T-2561 // G133T-2560 // G133T-2559,2442639 // 2441679 // 2440886 // 2439531,2443766 // 2442614 // 2441656 // 2440886,-
,G133T-256,226571,227959,+
,G133T-2558,2438571,2439494,+
 // ,G133T-2557 // G133T-2556,2438225 // 2437764,2438398 // 2438210,-
 //  // ,G133T-2555 // G133T-2554 // G133T-2553,2436320 // 2435303 // 2434859,2437633 // 2436298 // 2435278,-
 //  // ,G133T-2552 // G133T-2551 // G133T-2550,2434521 // 2433306 // 2432350,2434802 // 2434502 // 2433309,-
,G133T-255,225069,226253,+
 //  //  // ,G133T-2549 // G133T-2548 // G133T-2547 // G133T-2546,2430136 // 2429662 // 2429310 // 2429233,2432271 // 2430135 // 2429681 // 2429349,-
 // ,G133T-2545 // G133T-2544,2428781 // 2427895,2429191 // 2428800,-
 // ,G133T-2543 // G133T-2542,2427604 // 2426800,2427747 // 2427567,-
 // ,G133T-2541 // G133T-2540,2425616 // 2423584,2426548 // 2425623,-
,G133T-254,224080,224937,-
 // ,G133T-2539 // G133T-2538,2422813 // 2421975,2423454 // 2422787,-
 // ,G133T-2537 // G133T-2536,2421227 // 2419382,2421721 // 2421193,-
,G133T-2535,2418068,2419183,-
,G133T-2534,2417936,2418115,+
,G133T-2533,2417389,2417751,-
 // ,G133T-2532 // G133T-2531,2416482 // 2415368,2417198 // 2416489,-
,G133T-2530,2414401,2415345,+
,G133T-253,223224,223994,-
,G133T-2529,2413535,2414278,+
 // ,G133T-2528 // G133T-2527,2412050 // 2411147,2413393 // 2412013,-
,G133T-2526,2410866,2411120,+
,G133T-2525,2409869,2410750,-
,G133T-2524,2409294,2409731,-
,G133T-2523,2408670,2409251,+
,G133T-2522,2408148,2408531,-
,G133T-2521,2406995,2408122,+
,G133T-2520,2406567,2406866,+
,G133T-252,223036,223239,+
,G133T-2519,2404679,2405446,+
,G133T-2518,2404087,2404569,-
,G133T-2517,2403300,2403908,-
,G133T-2516,2401901,2403193,-
,G133T-2515,2399637,2401787,-
,G133T-2514,2398581,2399483,-
 //  //  // ,G133T-2513 // G133T-2512 // G133T-2511 // G133T-2510,2397583 // 2396699 // 2395869 // 2395076,2398512 // 2397583 // 2396678 // 2395858,-
 //  // ,G133T-251 // G133T-250 // G133T-249,221931 // 221263 // 220284,222917 // 221934 // 221261,+
 // ,G133T-2509 // G133T-2508,2394583 // 2394233,2395047 // 2394586,+
,G133T-2507,2394038,2394172,+
 // ,G133T-2506 // G133T-2505,2393583 // 2392507,2393930 // 2393574,-
,G133T-2504,2392180,2392299,+
,G133T-2503,2391626,2392189,-
,G133T-2502,2391386,2391559,-
,G133T-2501,2389773,2391296,-
 // ,G133T-2500 // G133T-2499,2389448 // 2388472,2389663 // 2389437,-
,G133T-25,26814,28505,+
,G133T-2498,2386439,2388355,-
,G133T-2497,2385226,2386353,-
 // ,G133T-2496 // G133T-2495,2384103 // 2383786,2385164 // 2384100,-
,G133T-2494,2383581,2383754,+
,G133T-2493,2382789,2383409,-
,G133T-2492,2382504,2382749,+
,G133T-2491,2381892,2382272,-
,G133T-2490,2381755,2381825,+
,G133T-2489,2380832,2381668,-
,G133T-2488,2379451,2380779,+
,G133T-2487,2378355,2379308,-
 // ,G133T-2486 // G133T-2485,2377961 // 2376873,2378125 // 2377943,-
 //  //  // ,G133T-2484 // G133T-2483 // G133T-2482 // G133T-2481,2375849 // 2375539 // 2375118 // 2374787,2376820 // 2375835 // 2375549 // 2375134,-
 // ,G133T-2480 // G133T-2479,2374378 // 2374003,2374674 // 2374377,-
 // ,G133T-248 // G133T-247,219612 // 219092,220037 // 219607,+
,G133T-2478,2373753,2373932,-
,G133T-2477,2373334,2373711,+
 // ,G133T-2476 // G133T-2475,2372352 // 2371796,2373113 // 2372368,-
,G133T-2474,2370947,2371732,-
 // ,G133T-2473 // G133T-2472,2370513 // 2370312,2370854 // 2370485,+
 // ,G133T-2471 // G133T-2470,2369335 // 2367641,2370129 // 2369314,+
 //  // ,G133T-2469 // G133T-2468 // G133T-2467,2366111 // 2364735 // 2363276,2367199 // 2366081 // 2364742,-
,G133T-2466,2362861,2363241,+
,G133T-2465,2361834,2362670,-
,G133T-2464,2361306,2361734,-
,G133T-2463,2360305,2361180,-
 // ,G133T-2462 // G133T-2461,2359913 // 2358917,2360308 // 2359873,+
,G133T-2460,2358154,2358690,-
 //  //  // ,G133T-246 // G133T-245 // G133T-244 // G133T-243,217630 // 216918 // 215409 // 214180,219045 // 217637 // 216899 // 215412,+
 //  // ,G133T-2459 // G133T-2458 // G133T-2457,2357621 // 2356563 // 2355981,2358067 // 2357624 // 2356538,-
,G133T-2456,2355555,2355836,-
 //  //  //  //  //  //  // ,G133T-2455 // G133T-2454 // G133T-2453 // G133T-2452 // G133T-2451 // G133T-2450 // G133T-2449 // G133T-2448,2354556 // 2354047 // 2353818 // 2353410 // 2352192 // 2351558 // 2350876 // 2350219,2355479 // 2354562 // 2354024 // 2353811 // 2353391 // 2352178 // 2351565 // 2350875,-
 //  // ,G133T-2447 // G133T-2446 // G133T-2445,2349584 // 2348220 // 2347792,2350063 // 2349572 // 2348199,-
 // ,G133T-2444 // G133T-2443,2347133 // 2346270,2347528 // 2347121,-
 //  // ,G133T-2442 // G133T-2441 // G133T-2440,2344786 // 2344535 // 2343655,2346168 // 2344789 // 2344545,-
 // ,G133T-2439 // G133T-2438,2341579 // 2340737,2343480 // 2341582,-
 // ,G133T-2437 // G133T-2436,2340190 // 2338423,2340639 // 2340153,-
,G133T-2435,2336968,2338248,-
,G133T-2434,2336817,2336990,-
,G133T-2433,2335889,2336692,-
,G133T-2432,2335467,2335580,-
,G133T-2431,2334276,2335424,+
,G133T-2430,2334081,2334233,+
 // ,G133T-2429 // G133T-2428,2333480 // 2332845,2333773 // 2333444,-
,G133T-2427,2332035,2332766,-
 //  //  //  //  // ,G133T-2426 // G133T-2425 // G133T-2424 // G133T-2423 // G133T-2422 // G133T-2421,2330727 // 2329839 // 2328672 // 2327520 // 2326087 // 2325164,2331908 // 2330702 // 2329811 // 2328638 // 2327505 // 2326069,-
,G133T-2420,2324886,2325122,+
,G133T-242,211864,213036,+
,G133T-2419,2322655,2324733,-
 //  //  //  //  //  // ,G133T-2418 // G133T-2417 // G133T-2416 // G133T-2415 // G133T-2414 // G133T-2413 // G133T-2412,2321631 // 2320525 // 2319415 // 2317970 // 2316956 // 2315959 // 2314662,2322530 // 2321619 // 2320506 // 2319394 // 2317948 // 2316942 // 2315936,-
,G133T-2411,2313764,2314600,+
,G133T-2410,2312522,2313691,+
 // ,G133T-241 // G133T-240,211687 // 211434,211809 // 211736,+
,G133T-2409,2311528,2312421,+
,G133T-2408,2310930,2311367,-
,G133T-2407,2309895,2310662,-
 // ,G133T-2406 // G133T-2405,2309155 // 2308440,2309814 // 2309162,-
,G133T-2404,2307401,2308369,-
,G133T-2403,2306819,2307349,-
 //  // ,G133T-2402 // G133T-2401 // G133T-2400,2306195 // 2304679 // 2303546,2306617 // 2306208 // 2304661,-
,G133T-24,25852,26337,+
,G133T-2399,2302777,2303505,+
 // ,G133T-2398 // G133T-2397,2301770 // 2301458,2302597 // 2301739,+
,G133T-2396,2300135,2301379,-
,G133T-2395,2298616,2300025,-
,G133T-2394,2297024,2298493,+
,G133T-2393,2295874,2296797,-
,G133T-2392,2294837,2295598,+
,G133T-2391,2293711,2294727,+
,G133T-2390,2291896,2293539,-
,G133T-239,211054,211227,-
,G133T-2389,2291019,2291855,+
 // ,G133T-2388 // G133T-2387,2289655 // 2288870,2290614 // 2289649,-
,G133T-2386,2287448,2288794,-
 // ,G133T-2385 // G133T-2384,2286417 // 2286027,2287376 // 2286413,-
,G133T-2383,2285872,2286030,+
,G133T-2382,2284589,2285821,+
,G133T-2381,2284161,2284298,-
,G133T-2380,2283834,2284040,+
,G133T-238,210577,210951,+
 // ,G133T-2379 // G133T-2378,2282430 // 2282095,2283665 // 2282433,-
 //  //  //  // ,G133T-2377 // G133T-2376 // G133T-2375 // G133T-2374 // G133T-2373,2281439 // 2281085 // 2280061 // 2279741 // 2279489,2281909 // 2281429 // 2281092 // 2280064 // 2279728,-
,G133T-2372,2278532,2279449,+
,G133T-2371,2278146,2278370,-
,G133T-2370,2277194,2278114,+
,G133T-237,210229,210519,+
,G133T-2369,2277009,2277131,+
 // ,G133T-2368 // G133T-2367,2276377 // 2275217,2276934 // 2276380,-
,G133T-2366,2274858,2275208,+
 // ,G133T-2365 // G133T-2364,2273687 // 2272215,2274676 // 2273642,-
 // ,G133T-2363 // G133T-2362,2270668 // 2269331,2272074 // 2270650,-
,G133T-2361,2269016,2269231,-
,G133T-2360,2268271,2268915,-
,G133T-236,209638,210165,+
 //  //  // ,G133T-2359 // G133T-2358 // G133T-2357 // G133T-2356,2267709 // 2267569 // 2267357 // 2266459,2268158 // 2267682 // 2267584 // 2267349,-
 // ,G133T-2355 // G133T-2354,2265114 // 2264286,2266298 // 2265101,-
,G133T-2353,2262962,2264131,-
 //  // ,G133T-2352 // G133T-2351 // G133T-2350,2262513 // 2262076 // 2261297,2262866 // 2262516 // 2262064,-
 // ,G133T-235 // G133T-234,206946 // 205414,209561 // 206931,+
 //  //  // ,G133T-2349 // G133T-2348 // G133T-2347 // G133T-2346,2260552 // 2260137 // 2259672 // 2258643,2261175 // 2260562 // 2260124 // 2259659,-
,G133T-2345,2256240,2257721,-
,G133T-2344,2254815,2256140,-
,G133T-2343,2253913,2254785,+
,G133T-2342,2253739,2253873,-
,G133T-2341,2253228,2253659,-
,G133T-2340,2252880,2253092,+
,G133T-2339,2252623,2252739,+
,G133T-2338,2252011,2252214,-
,G133T-2337,2251499,2251753,-
,G133T-2336,2251184,2251390,-
,G133T-2335,2250184,2250738,-
,G133T-2334,2249605,2249949,-
 //  //  // ,G133T-2333 // G133T-2332 // G133T-2331 // G133T-2330,2248126 // 2247468 // 2246257 // 2245760,2249211 // 2248115 // 2247453 // 2246224,-
 // ,G133T-233 // G133T-232,204356 // 203734,204895 // 204369,+
,G133T-2329,2245273,2245647,-
,G133T-2328,2244735,2245259,+
 // ,G133T-2327 // G133T-2326,2243699 // 2243116,2244454 // 2243709,-
,G133T-2325,2242522,2243061,-
 //  // ,G133T-2324 // G133T-2323 // G133T-2322,2241251 // 2240673 // 2240132,2242399 // 2241263 // 2240668,-
,G133T-2321,2239306,2240040,-
,G133T-2320,2239186,2239302,+
 // ,G133T-2319 // G133T-2318,2237047 // 2235852,2238675 // 2237027,-
 // ,G133T-2317 // G133T-2316,2235049 // 2233283,2235804 // 2235052,-
 // ,G133T-2315 // G133T-2314,2232495 // 2231453,2233079 // 2232454,-
,G133T-2313,2230574,2231341,-
,G133T-2312,2228954,2230531,+
,G133T-2311,2228563,2228748,-
,G133T-2310,2227885,2228457,-
,G133T-231,202552,203463,-
,G133T-2309,2227597,2227845,+
 //  //  // ,G133T-2308 // G133T-2307 // G133T-2306 // G133T-2305,2226273 // 2224790 // 2224161 // 2223488,2227331 // 2226280 // 2224763 // 2224210,-
,G133T-2304,2222982,2223425,-
,G133T-2303,2222117,2222896,-
,G133T-2302,2221374,2221958,-
,G133T-2301,2219935,2221218,-
,G133T-2300,2218852,2219826,-
 // ,G133T-230 // G133T-229,200282 // 200076,202084 // 200207,+
,G133T-23,25221,25766,-
,G133T-2299,2218076,2218732,-
 // ,G133T-2298 // G133T-2297,2217020 // 2215633,2217937 // 2216985,-
,G133T-2296,2214887,2215540,-
,G133T-2295,2214666,2214842,-
,G133T-2294,2213913,2214587,-
,G133T-2293,2212532,2213680,-
,G133T-2292,2211470,2212477,-
,G133T-2291,2211296,2211427,+
 //  // ,G133T-2290 // G133T-2289 // G133T-2288,2210619 // 2209729 // 2209538,2211218 // 2210622 // 2209732,-
 // ,G133T-2287 // G133T-2286,2208074 // 2207019,2209384 // 2208056,-
 // ,G133T-2285 // G133T-2284,2206478 // 2205722,2206681 // 2206456,-
,G133T-2283,2204063,2205541,-
,G133T-2282,2203411,2203689,-
 // ,G133T-2281 // G133T-2280,2202651 // 2202402,2203223 // 2202629,-
 //  // ,G133T-228 // G133T-227 // G133T-226,198502 // 197032 // 196218,199848 // 198483 // 197039,+
 //  // ,G133T-2279 // G133T-2278 // G133T-2277,2201483 // 2200775 // 2199787,2202238 // 2201476 // 2200749,-
,G133T-2276,2199222,2199668,-
,G133T-2275,2198212,2198982,-
 //  // ,G133T-2274 // G133T-2273 // G133T-2272,2196965 // 2195877 // 2195497,2198137 // 2196965 // 2195880,-
 //  //  //  //  //  //  //  //  // ,G133T-2271 // G133T-2270 // G133T-2269 // G133T-2268 // G133T-2267 // G133T-2266 // G133T-2265 // G133T-2264 // G133T-2263 // G133T-2262,2193734 // 2192746 // 2192001 // 2191349 // 2190166 // 2189370 // 2188276 // 2187112 // 2185814 // 2185612,2195281 // 2193762 // 2192753 // 2191996 // 2191368 // 2190173 // 2189358 // 2188227 // 2187100 // 2185791,-
,G133T-2261,2184194,2185465,-
,G133T-2260,2183583,2184122,-
,G133T-2259,2183085,2183528,-
 //  // ,G133T-2258 // G133T-2257 // G133T-2256,2182436 // 2181760 // 2180958,2182939 // 2182434 // 2181725,-
,G133T-2255,2180254,2180847,-
,G133T-2254,2179391,2180185,-
,G133T-2253,2178482,2179354,+
 //  //  //  //  //  // ,G133T-2252 // G133T-2251 // G133T-2250 // G133T-2249 // G133T-2248 // G133T-2247 // G133T-2246,2178007 // 2177192 // 2176763 // 2176060 // 2174930 // 2173732 // 2172770,2178342 // 2177995 // 2177179 // 2176770 // 2176063 // 2174925 // 2173747,-
 // ,G133T-225 // G133T-224,195431 // 194854,196057 // 195417,+
,G133T-2245,2172540,2172701,+
 //  // ,G133T-2244 // G133T-2243 // G133T-2242,2171692 // 2170830 // 2170445,2172525 // 2171690 // 2170828,-
,G133T-2241,2167524,2170319,-
 //  // ,G133T-2240 // G133T-2239 // G133T-2238,2167211 // 2166717 // 2165513,2167381 // 2167202 // 2166694,-
,G133T-2237,2164077,2165372,-
,G133T-2236,2163286,2163984,-
 // ,G133T-2235 // G133T-2234,2162608 // 2162117,2163219 // 2162611,-
 // ,G133T-2233 // G133T-2232,2159297 // 2158655,2162041 // 2159275,+
,G133T-2231,2157652,2158614,-
,G133T-2230,2157493,2157627,+
 //  //  //  // ,G133T-223 // G133T-222 // G133T-221 // G133T-220 // G133T-219,194552 // 194463 // 194368 // 194288 // 194210,194623 // 194544 // 194440 // 194360 // 194281,+
,G133T-2229,2157079,2157324,-
,G133T-2228,2156662,2157033,-
,G133T-2227,2156435,2156623,+
,G133T-2226,2155870,2156247,-
,G133T-2225,2155430,2155849,+
,G133T-2224,2154786,2155343,-
 // ,G133T-2223 // G133T-2222,2152434 // 2151177,2154683 // 2152418,-
,G133T-2221,2150948,2151076,-
,G133T-2220,2150006,2150635,-
,G133T-2219,2149632,2149928,-
,G133T-2218,2147928,2149085,-
,G133T-2217,2147368,2147607,-
,G133T-2216,2145341,2147266,-
 // ,G133T-2215 // G133T-2214,2144536 // 2143707,2145300 // 2144534,+
 //  // ,G133T-2213 // G133T-2212 // G133T-2211,2142466 // 2141454 // 2140862,2143485 // 2142428 // 2141452,-
,G133T-2210,2139825,2140817,-
,G133T-2209,2138208,2139713,-
 // ,G133T-2208 // G133T-2207,2137293 // 2135980,2137877 // 2137296,-
 // ,G133T-2206 // G133T-2205,2134809 // 2134299,2135906 // 2134805,-
,G133T-2204,2130382,2133963,-
,G133T-2203,2130281,2130430,+
,G133T-2202,2130060,2130317,-
,G133T-2201,2129839,2129985,-
,G133T-2200,2128848,2129738,-
,G133T-22,23868,25151,-
,G133T-2199,2128712,2128840,+
 // ,G133T-2198 // G133T-2197,2128272 // 2127583,2128670 // 2128272,+
 // ,G133T-2196 // G133T-2195,2126820 // 2126645,2127500 // 2126827,-
,G133T-2194,2126348,2126617,+
,G133T-2193,2126010,2126192,-
,G133T-2192,2125758,2125958,+
,G133T-2191,2124367,2125515,+
,G133T-2190,2123231,2124136,+
 // ,G133T-2189 // G133T-2188,2122406 // 2121773,2122888 // 2122390,-
,G133T-2187,2120580,2121713,-
,G133T-2186,2118615,2120291,-
,G133T-2185,2118074,2118508,-
,G133T-2184,2117259,2118032,-
 // ,G133T-2183 // G133T-2182,2116388 // 2115837,2116972 // 2116370,-
 //  // ,G133T-2181 // G133T-2180 // G133T-2179,2114959 // 2114456 // 2113835,2115753 // 2114962 // 2114455,-
 // ,G133T-218 // G133T-217,193575 // 193080,194030 // 193562,-
 // ,G133T-2178 // G133T-2177,2113155 // 2112139,2113796 // 2113134,+
,G133T-2176,2110622,2111890,-
,G133T-2175,2110285,2110536,-
,G133T-2174,2109556,2110146,-
 //  // ,G133T-2173 // G133T-2172 // G133T-2171,2108711 // 2108138 // 2107931,2109478 // 2108701 // 2108125,-
,G133T-2170,2106522,2107859,-
,G133T-2169,2106047,2106472,+
 // ,G133T-2168 // G133T-2167,2105382 // 2104950,2105915 // 2105381,-
,G133T-2166,2103881,2104906,+
,G133T-2165,2102363,2103511,-
 // ,G133T-2164 // G133T-2163,2101339 // 2100931,2102292 // 2101332,+
,G133T-2162,2100421,2100726,-
 // ,G133T-2161 // G133T-2160,2099076 // 2098268,2100356 // 2099047,-
 //  // ,G133T-216 // G133T-215 // G133T-214,192056 // 191188 // 189795,192970 // 192039 // 191162,-
 //  //  //  //  // ,G133T-2159 // G133T-2158 // G133T-2157 // G133T-2156 // G133T-2155 // G133T-2154,2098075 // 2097926 // 2096611 // 2095915 // 2095277 // 2093958,2098188 // 2098081 // 2097945 // 2096604 // 2095930 // 2095262,-
 //  // ,G133T-2153 // G133T-2152 // G133T-2151,2093153 // 2091709 // 2091434,2093980 // 2093124 // 2091712,-
,G133T-2150,2091123,2091347,-
,G133T-2149,2090292,2090972,-
,G133T-2148,2090152,2090295,+
,G133T-2147,2089857,2090033,-
,G133T-2146,2089168,2089779,-
,G133T-2145,2088793,2089107,-
